epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1127.51,1.45461,3.23737,1.74057,0.20509,0.32305,0.18426,0.10339,1.44171,2.98403,1.86226,0.000333036,0.000333036,0.000333036
2,2117.07,1.46807,2.79351,1.7545,0.35195,0.2683,0.19758,0.10011,1.59272,2.61573,2.06761,0.000644379,0.000644379,0.000644379
3,3103.01,1.51238,2.65948,1.77121,0.18759,0.34784,0.1835,0.09394,1.59529,2.84886,2.0017,0.000933723,0.000933723,0.000933723
4,4093.89,1.4977,2.55293,1.77789,0.22655,0.3678,0.23132,0.11489,1.61463,2.30496,2.01745,0.000901,0.000901,0.000901
5,5088.65,1.44805,2.4336,1.72223,0.30291,0.35937,0.30825,0.18275,1.45517,2.06099,1.83224,0.000868,0.000868,0.000868
6,6065.27,1.40168,2.34314,1.69941,0.33118,0.39243,0.31255,0.18226,1.39832,1.97047,1.82714,0.000835,0.000835,0.000835
7,7052.35,1.38519,2.27472,1.67511,0.3655,0.43709,0.36187,0.22045,1.31609,1.82755,1.70338,0.000802,0.000802,0.000802
8,8083.02,1.34648,2.21001,1.65635,0.33772,0.40503,0.34942,0.21269,1.36898,1.87797,1.77112,0.000769,0.000769,0.000769
9,9078.51,1.32224,2.1373,1.63663,0.40039,0.45912,0.3729,0.22534,1.35333,1.87297,1.75397,0.000736,0.000736,0.000736
10,10117.7,1.3237,2.08937,1.62803,0.39065,0.41854,0.35725,0.22247,1.3956,1.82738,1.79153,0.000703,0.000703,0.000703
11,11173,1.29217,2.06246,1.60659,0.36462,0.40235,0.37264,0.23356,1.30092,1.73725,1.69975,0.00067,0.00067,0.00067
12,12191.1,1.27697,1.99324,1.59605,0.38334,0.48265,0.43034,0.27198,1.279,1.59849,1.67715,0.000637,0.000637,0.000637
13,13278.7,1.25227,1.96084,1.57348,0.44221,0.48293,0.4323,0.27757,1.29588,1.56979,1.69146,0.000604,0.000604,0.000604
14,14398.3,1.25175,1.91773,1.57185,0.42341,0.49395,0.45471,0.29491,1.26372,1.5976,1.66506,0.000571,0.000571,0.000571
15,15506.1,1.24966,1.89614,1.56746,0.46979,0.43782,0.46043,0.28869,1.25174,1.55673,1.65066,0.000538,0.000538,0.000538
16,16501.1,1.20721,1.85146,1.53915,0.40777,0.48761,0.47046,0.30749,1.20189,1.47473,1.61408,0.000505,0.000505,0.000505
17,17495.8,1.19771,1.81329,1.52441,0.52109,0.48516,0.50723,0.34028,1.1698,1.38873,1.57997,0.000472,0.000472,0.000472
18,18665.1,1.17456,1.77231,1.51524,0.51468,0.49302,0.49767,0.32821,1.18221,1.42091,1.58281,0.000439,0.000439,0.000439
19,19874.5,1.15822,1.73019,1.49041,0.52139,0.52755,0.51291,0.34789,1.16587,1.38669,1.56886,0.000406,0.000406,0.000406
20,21117.2,1.16146,1.6966,1.49684,0.68077,0.43291,0.53695,0.36308,1.15689,1.33281,1.55177,0.000373,0.000373,0.000373
21,23086.5,1.11304,1.44204,1.52933,0.55776,0.52459,0.54133,0.36531,1.17377,1.34708,1.56959,0.00034,0.00034,0.00034
22,27769.2,1.07166,1.362,1.48981,0.59683,0.47664,0.5313,0.36278,1.16982,1.35254,1.5645,0.000307,0.000307,0.000307
23,31587.4,1.03797,1.30901,1.4608,0.60968,0.47787,0.56038,0.38442,1.17132,1.29994,1.56641,0.000274,0.000274,0.000274
24,32570.9,1.02096,1.25317,1.44929,0.68102,0.4636,0.57625,0.39335,1.12951,1.2745,1.51382,0.000241,0.000241,0.000241
25,33787,0.99115,1.20778,1.41613,0.64274,0.50584,0.5911,0.41419,1.11301,1.24545,1.51444,0.000208,0.000208,0.000208
